id,track_name,album,artists,popularity,total_tracks_in_album,album_release,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
5x5JM1BSB6vollcIzDocqT,The Climb,The Time Of Our Lives (International Version),Miley Cyrus,75,8,2009-01-01,0.336,0.602,4,-6.354,1,0.0325,0.0635,0.0,0.141,0.299,161.01,234520
7BKLCZ1jbUBVqRi2FVlTVw,Closer,Closer,The Chainsmokers,83,1,2016-07-29,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,244960
63OC8cNa4ZnFB3bbvbWCOc,Black Mambo,ZABA,Glass Animals,59,11,2014-06-03,0.675,0.409,0,-10.707,0,0.0423,0.294,0.000596,0.119,0.308,79.954,248920
1RLqQslzpKDVaTHVbCMUeW,Mujer Calavera,Alma Y Locura,Sanalejo,40,12,2005-06-25,0.437,0.86,7,-7.684,0,0.121,0.000692,0.0,0.0487,0.671,123.046,221147
3A9EiHWVGPbbAv6Q2ynfAA,Tinfoil,Boat,Pip Blom,12,10,2019-05-31,0.463,0.621,4,-4.743,0,0.0324,0.8,0.772,0.187,0.247,117.812,285893
44uOreAESeRIBaxkuCW4wN,Sleep On The Floor,Cleopatra,The Lumineers,68,11,2016-04-08,0.389,0.431,7,-8.061,1,0.0344,0.249,0.0,0.13,0.275,142.14,211851
3Y4rUyw7XBCK6hGHCOt6rp,"Call It Fate, Call It Karma",Comedown Machine,The Strokes,70,11,2013-03-25,0.544,0.241,4,-14.779,0,0.03,0.983,0.774,0.101,0.359,109.437,204773
70LcF31zb1H0PyJoS1Sx1r,Creep,Pablo Honey,Radiohead,84,12,1993-02-22,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,238640
56NkIxSZZiMpFP5ZNSxtnT,Someday,Is This It,The Strokes,70,11,2001-07-30,0.542,0.531,9,-7.481,1,0.0301,0.0033,1.51e-06,0.338,0.671,105.97,183391
1Gbgr0NQ6XlK9VKAWaiwjv,Un Día en el Parque,Cuentos Chinos para Niños del Japón,Love of Lesbian,45,14,2007-01-01,0.574,0.287,0,-14.1,1,0.0278,0.636,0.0561,0.122,0.318,95.931,240133
5ruzrDWcT0vuJIOMW7gMnW,The Adults Are Talking,The New Abnormal,The Strokes,78,9,2020-04-10,0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,309053
3lPr8ghNDBLc2uZovNyLs9,Supermassive Black Hole,Black Holes and Revelations,Muse,76,12,2006-06-19,0.668,0.921,7,-3.727,1,0.0439,0.0492,0.00517,0.0877,0.782,120.0,212440
5L2STOBiS00u7q4aLtRjKK,Nowhere Near,Painful,Yo La Tengo,47,11,1993-10-05,0.431,0.233,9,-15.242,1,0.0288,0.832,0.848,0.099,0.085,81.183,363973
094RugjgLW6CdPLOJctBZ3,Boom Clap,SUCKER,Charli XCX,57,15,2015-02-09,0.659,0.911,4,-2.28,1,0.0786,0.154,0.000304,0.191,0.576,91.999,169866
0TOk6x6xMQuOIvWEuNgqJt,Shabop Shalom,Smokey Rolls Down Thunder Canyon,Devendra Banhart,39,16,2007-09-24,0.55,0.376,9,-13.923,0,0.0346,0.542,0.837,0.15,0.635,103.876,278213
0pWrU4My52DJ75GnZKDlv8,Group Four,Mezzanine,Massive Attack,43,11,1998-01-01,0.546,0.749,1,-8.345,0,0.0371,0.0109,0.378,0.0854,0.136,95.304,492267
11iLvJ8LlvfgPCRGPtY6Ez,La Niña Cuántica,Nixon en la Playa,Julián Mayorga,28,4,2016-10-21,0.798,0.558,9,-6.969,0,0.0644,0.626,0.572,0.0945,0.965,115.041,128685
